Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-11-03,2584.5,2587.75,2576.0,2584.75,6.0,2583.5,4.0,51.0
2017-11-06,2582.5,2585.75,2577.75,2585.75,6.0,2589.5,7.0,53.0
2017-11-07,,2592.25,2584.0,2585.75,2.0,2587.5,7.0,48.0
2017-11-08,,2592.0,2582.5,2592.0,4.25,2591.75,1.0,50.0
2017-11-09,2579.5,2594.0,2569.0,2583.5,7.0,2584.75,3.0,49.0
2017-11-10,2578.0,2585.25,2575.25,2581.5,4.25,2580.5,4.0,49.0
2017-11-13,2585.0,2585.0,2575.25,2584.0,2.25,2582.75,12.0,53.0
2017-11-14,2573.75,2577.5,2569.5,2577.5,3.75,2579.0,7.0,55.0
2017-11-15,,,2561.0,2568.25,13.0,2566.0,0.0,54.0
2017-11-16,,2588.0,2565.0,2588.0,20.25,2586.25,0.0,54.0
2017-11-17,2580.5,2581.5,2580.5,2581.5,8.75,2577.5,2.0,54.0
2017-11-20,2587.0,2588.0,2570.75,2584.75,6.0,2583.5,21.0,55.0
2017-11-21,2591.0,2601.5,2591.0,2600.0,14.5,2598.0,11.0,66.0
2017-11-22,2596.5,2599.75,2596.5,2599.75,1.5,2596.5,1.0,77.0
2017-11-24,2597.0,2601.5,2597.0,2601.5,6.5,2603.0,2.0,77.0
2017-11-27,,2604.75,,2604.75,1.0,2604.0,0.0,79.0
2017-11-28,2601.0,2628.25,2598.25,2628.25,26.0,2630.0,2.0,79.0
2017-11-29,2628.5,2635.75,2626.25,2628.75,0.25,2629.75,843.0,79.0
2017-11-30,2634.75,2660.0,2634.75,2649.5,23.25,2653.0,40.0,900.0
2017-12-01,2649.0,2654.5,2616.75,2645.5,4.25,2648.75,14.0,913.0
2017-12-04,2661.5,2668.75,2641.0,2641.0,5.25,2643.5,26.0,917.0
2017-12-05,2645.0,2653.25,2634.75,2634.75,9.75,2633.75,21.0,910.0
2017-12-06,2633.25,2638.5,2627.75,2637.25,1.5,2635.25,12.0,920.0
2017-12-07,2642.0,2647.0,2636.0,2643.25,10.5,2645.75,13.0,922.0
2017-12-08,2648.0,2657.75,2648.0,2657.25,12.25,2658.0,28.0,927.0
2017-12-11,2658.0,2671.25,2658.0,2671.25,10.5,2668.5,33.0,931.0
2017-12-12,2671.0,2676.75,2669.25,2673.0,4.0,2672.5,23.0,931.0
2017-12-13,2670.0,2679.75,2665.75,2675.5,1.5,2674.0,9.0,939.0
2017-12-14,2674.25,2677.0,2659.75,2660.0,13.25,2660.75,14.0,939.0
2017-12-15,2663.25,2687.0,2660.5,2687.0,26.25,2687.0,11.0,949.0
2017-12-18,2690.0,2701.75,2689.75,2700.25,12.25,2699.25,14.0,948.0
2017-12-19,2700.75,2702.5,2688.25,2689.75,9.75,2689.5,123.0,946.0
2017-12-20,2696.25,2700.25,2685.25,2687.0,2.5,2687.0,23.0,968.0
2017-12-21,2687.0,2700.75,2686.75,2692.25,6.0,2693.0,31.0,968.0
2017-12-22,2694.5,2696.5,2688.5,2692.0,1.5,2691.5,240.0,964.0
2017-12-26,2692.5,2694.5,2689.5,2692.75,1.0,2692.5,441.0,996.0
2017-12-27,2694.75,2696.0,2687.75,2690.75,1.5,2691.0,301.0,1378.0
2017-12-28,2692.75,2693.75,2689.25,2691.25,0.5,2691.5,343.0,1364.0
2017-12-29,2697.25,2704.25,2673.75,2674.0,9.5,2682.0,2150.0,1663.0
2018-01-02,2683.5,2701.0,2680.75,2699.5,16.75,2698.75,100.0,3309.0
2018-01-03,2701.25,2719.75,2701.25,2715.0,18.25,2717.0,163.0,3266.0
2018-01-04,2718.75,2735.0,2715.0,2731.5,13.75,2730.75,484.0,3373.0
2018-01-05,2733.0,2749.5,2731.0,2749.25,19.0,2749.75,230.0,3710.0
2018-01-08,2750.0,2755.0,2744.25,2754.5,4.25,2754.0,1533.0,3753.0
2018-01-09,2751.5,2766.5,2750.25,2757.5,5.5,2759.5,1071.0,4369.0
2018-01-10,2757.75,2758.75,2744.75,2758.25,1.5,2758.0,1082.0,5387.0
