"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
60768,9/30/2016 0:00:00,15176,"HOOSIER HILLS",150,"Hoosier Hills Investment"
60801,9/30/2016 0:00:00,15207,"UNIVERSITY & STATE EMPLOYEES",53,"USE Credit Union"
60806,9/30/2016 0:00:00,15212,"TEXANS",251,"Texans Credit Union"
60931,9/30/2016 0:00:00,15317,"MICHIGAN EDUCATIONAL",478,"MECU Financial"
60967,9/30/2016 0:00:00,15349,"HUNTINGTON BEACH CTY EMPLOYEES",199,"HBCECU"
61004,9/30/2016 0:00:00,15384,"SAN DIEGO COUNTY",182,"SDCCU.com"
61004,9/30/2016 0:00:00,15384,"SAN DIEGO COUNTY",183,"SDCCU"
61088,9/30/2016 0:00:00,15461,"OKLAHOMA EDUCATORS",120,"OECU"
61093,9/30/2016 0:00:00,15466,"VIBRANT",232,"DHCU Community Credit Union"
61387,9/30/2016 0:00:00,15733,"BOEING HELICOPTERS CREDIT UNION",306,"BHCU-From Banking to Belonging"
61451,9/30/2016 0:00:00,15790,"JACL",269,"JACL Credit Union"
61650,9/30/2016 0:00:00,15972,"THE GOLDEN 1",219,"The Golden 1 Credit Union"
61650,9/30/2016 0:00:00,15972,"THE GOLDEN 1",220,"Golden 1 Credit Union"
61650,9/30/2016 0:00:00,15972,"THE GOLDEN 1",221,"Golden 1"
61650,9/30/2016 0:00:00,15972,"THE GOLDEN 1",222,"G1"
61708,9/30/2016 0:00:00,16026,"ARBOR FINANCIAL",295,"ECCU"
61708,9/30/2016 0:00:00,16026,"ARBOR FINANCIAL",515,"Arbor Financial"
61734,9/30/2016 0:00:00,16048,"RIO GRANDE VALLEY CREDIT UNION",419,"Rio Grande Valley CU"
61734,9/30/2016 0:00:00,16048,"RIO GRANDE VALLEY CREDIT UNION",420,"Rio Grande Valley Credit Union"
61734,9/30/2016 0:00:00,16048,"RIO GRANDE VALLEY CREDIT UNION",421,"RGVCU"
61734,9/30/2016 0:00:00,16048,"RIO GRANDE VALLEY CREDIT UNION",422,"RGV Credit Union"
61936,9/30/2016 0:00:00,16238,"ENERGY CAPITAL",370,"ECCU"
61936,9/30/2016 0:00:00,16238,"ENERGY CAPITAL",397,"Energy CCU Wealth Service, LLP"
61986,9/30/2016 0:00:00,16286,"GRATIOT COMMUNITY",155,"GCCU"
62031,9/30/2016 0:00:00,16329,"HEARTLAND",289,"HCU"
62049,9/30/2016 0:00:00,16347,"MICHIGAN SCHOOLS AND GOVERNMENT",373,"MSGCU"
62258,9/30/2016 0:00:00,16536,"COAST GUARD EMPLOYEES",146,"CGECU"
62406,9/30/2016 0:00:00,16675,"BRIDGE",324,"STE Credit Union"
62431,9/30/2016 0:00:00,16697,"KENTUCKY EMPLOYEES",457,"KECU"
62562,9/30/2016 0:00:00,16821,"CREDIT UNION ONE",428,"St. Joseph's Mercy Financial"
62604,9/30/2016 0:00:00,16863,"BOEING EMPLOYEES",67,"BECU"
62745,9/30/2016 0:00:00,17002,"ONPOINT COMMUNITY",216,"OnPoint Insurance Services"
62745,9/30/2016 0:00:00,17002,"ONPOINT COMMUNITY",217,"OnPoint Community Credit Union"
62745,9/30/2016 0:00:00,17002,"ONPOINT COMMUNITY",218,"OnPoint Business Services"
62745,9/30/2016 0:00:00,17002,"ONPOINT COMMUNITY",442,"OnPoint Mortgage"
62745,9/30/2016 0:00:00,17002,"ONPOINT COMMUNITY",443,"OnPoint Wealth Management and In"
62801,9/30/2016 0:00:00,17057,"WEST COMMUNITY",304,"Tigers Community Credit Union"
62848,9/30/2016 0:00:00,17101,"TELHIO",248,"SCG"
62848,9/30/2016 0:00:00,17101,"TELHIO",249,"KRILE COMMUNICATION"
62848,9/30/2016 0:00:00,17101,"TELHIO",250,"BECKMAN XMO"
62881,9/30/2016 0:00:00,17133,"ARIZONA CENTRAL",106,"Arizona Central"
62881,9/30/2016 0:00:00,17133,"ARIZONA CENTRAL",107,"ACCU"
62881,9/30/2016 0:00:00,17133,"ARIZONA CENTRAL",433,"AZCCU"
62903,9/30/2016 0:00:00,17154,"PARTNER COLORADO",147,"Eagle Legacy Credit Union"
62978,9/30/2016 0:00:00,17225,"IDEAL",5,"Postal Credit Union"
62978,9/30/2016 0:00:00,17225,"IDEAL",6,"PCU Title"
62978,9/30/2016 0:00:00,17225,"IDEAL",7,"PCU Student Credit Union"
62978,9/30/2016 0:00:00,17225,"IDEAL",8,"PCU Mortgage"
62978,9/30/2016 0:00:00,17225,"IDEAL",9,"PCU Credit Union"
62978,9/30/2016 0:00:00,17225,"IDEAL",10,"PCU Business Services"
62978,9/30/2016 0:00:00,17225,"IDEAL",11,"PCU"
62978,9/30/2016 0:00:00,17225,"IDEAL",335,"Ideal Credit Union"
62978,9/30/2016 0:00:00,17225,"IDEAL",413,"Ideal Title"
62978,9/30/2016 0:00:00,17225,"IDEAL",414,"Ideal CU"
62978,9/30/2016 0:00:00,17225,"IDEAL",445,"Ideal Student Credit Union"
63069,9/30/2016 0:00:00,17311,"POST OFFICE EMPLOYEES'",514,"POECU"
63199,9/30/2016 0:00:00,17441,"LINCOLN  COUNTY",16,"LCCU"
63447,9/30/2016 0:00:00,17685,"COMMUNITY",300,"Star Enterprises, LLC"
63458,9/30/2016 0:00:00,17696,"SOO LINE",480,"SLCU"
63637,9/30/2016 0:00:00,17870,"NAVIGATOR CU",212,"NCU Wealth Management"
63789,9/30/2016 0:00:00,18017,"ALLIANCE",233,"Alliance Credit Union"
63829,9/30/2016 0:00:00,18057,"ST. MARY'S BANK",241,"The Mortgage Center-St Mary's Bank"
63829,9/30/2016 0:00:00,18057,"ST. MARY'S BANK",242,"St Mary's Title Services"
63829,9/30/2016 0:00:00,18057,"ST. MARY'S BANK",243,"St Mary's Financial Services"
63829,9/30/2016 0:00:00,18057,"ST. MARY'S BANK",244,"St Mary's Bank"
63835,9/30/2016 0:00:00,18063,"MIDWEST",94,"Midwest Credit Union"
63837,9/30/2016 0:00:00,18065,"EVANGELICAL CHRISTIAN",166,"ECCU"
63958,9/30/2016 0:00:00,18186,"1ST UNITED SERVICES",487,"1st United Credit Union"
64049,9/30/2016 0:00:00,18277,"DUPACO COMMUNITY",93,"Dupaco"
64166,9/30/2016 0:00:00,18394,"MARION AND POLK SCHOOLS",31,"Maps Credit Union"
64655,9/30/2016 0:00:00,18883,"NORTHERN COMMUNITIES",312,"NCCYou"
64920,9/30/2016 0:00:00,19148,"ILLINOIS STATE",387,"ItsMyCredit Union"
64959,9/30/2016 0:00:00,19187,"H.B.I. EMPLOYEES",381,"HBI Credit Union"
65082,9/30/2016 0:00:00,19310,"SUNWEST EDUCATIONAL",29,"SunWest Educational Credit Union"
65088,9/30/2016 0:00:00,19316,"HOLY ROSARY",329,"Holy Rosary Credit Union"
65208,9/30/2016 0:00:00,19436,"NATCO",205,"Natco Community Empowerment Cnt"
65299,9/30/2016 0:00:00,19527,"KEYPOINT",39,"KPCU.com"
65299,9/30/2016 0:00:00,19527,"KEYPOINT",40,"KeyPoint CU"
65299,9/30/2016 0:00:00,19527,"KEYPOINT",41,"KeyPoint Credit Union"
65299,9/30/2016 0:00:00,19527,"KEYPOINT",42,"KeyPoint"
65299,9/30/2016 0:00:00,19527,"KEYPOINT",317,"KeyPoint Financial Services"
66037,9/30/2016 0:00:00,20260,"B.C.S. COMMUNITY",376,"Burlington Colorado Southern"
66116,9/30/2016 0:00:00,20339,"TUCSON OLD PUEBLO",500,"TOPCU"
66328,9/30/2016 0:00:00,20550,"WRIGHT-PATT",160,"Wright-Patt Credit Union"
66328,9/30/2016 0:00:00,20550,"WRIGHT-PATT",161,"WPCU"
66330,9/30/2016 0:00:00,20552,"STATE EMPLOYEES CU OF MARYLAND, INC",239,"SECU Credit Union"
66330,9/30/2016 0:00:00,20552,"STATE EMPLOYEES CU OF MARYLAND, INC",240,"SECU"
66373,9/30/2016 0:00:00,20595,"WHATCOM EDUCATIONAL",328,"WECU"
66448,9/30/2016 0:00:00,20670,"EDUCATORS",22,"Kitchen Table Real Estate LLC"
66448,9/30/2016 0:00:00,20670,"EDUCATORS",23,"ECU-Ivanhoe Pl Real Estate LLC"
66448,9/30/2016 0:00:00,20670,"EDUCATORS",24,"ECU - Howard Ave Real Estate LLC"
66448,9/30/2016 0:00:00,20670,"EDUCATORS",384,"Educators Credit Union – Pleasant Prairie Real Estate, LLC"
66479,9/30/2016 0:00:00,20701,"WORKERS'",234,"Workers' Financial Services, LLC"
66491,9/30/2016 0:00:00,20713,"POST OFFICE",366,"POCU"
66637,9/30/2016 0:00:00,20859,"BREWERY",13,"BREWERY CREDIT UNION"
66787,9/30/2016 0:00:00,21009,"MUNICIPAL EMPL.CREDIT UNION OF BALT",341,"MECU of Baltimore, Inc."
66787,9/30/2016 0:00:00,21009,"MUNICIPAL EMPL.CREDIT UNION OF BALT",434,"Municipal Employees Credit Union"
66787,9/30/2016 0:00:00,21009,"MUNICIPAL EMPL.CREDIT UNION OF BALT",435,"MECU of Baltimore"
66787,9/30/2016 0:00:00,21009,"MUNICIPAL EMPL.CREDIT UNION OF BALT",436,"MECU - Baltimore's Credit Union"
66787,9/30/2016 0:00:00,21009,"MUNICIPAL EMPL.CREDIT UNION OF BALT",437,"MECU"
66787,9/30/2016 0:00:00,21009,"MUNICIPAL EMPL.CREDIT UNION OF BALT",438,"Maryland's Exceptional Credit Un"
66848,9/30/2016 0:00:00,21070,"COVANTAGE",156,"CVCU"
66848,9/30/2016 0:00:00,21070,"COVANTAGE",157,"CoVantage CU"
66848,9/30/2016 0:00:00,21070,"COVANTAGE",158,"CoVantage Credit Union"
66848,9/30/2016 0:00:00,21070,"COVANTAGE",159,"CoVantage"
