Bank Name / Holding Co Name	Nat'l Rank	Bank ID	Bank Location	Charter	Consol Assets (Mil $)	Domestic Assets (Mil $)	Pct Domestic Assets	Pct Cumulative Assets	Domestic Branches	Foreign Branches	IBF	Pct Foreign Owned
ROSE HILL BK/AMERICAN ST BSHRS	1622	190451	ROSE HILL, KS	SMB	334	334	100	100	5	0	N	0.00
AUSTIN BK CHICAGO/GREATER CHICAGO FC	1623	4839	CHICAGO, IL	SNM	334	334	100	100	4	0	N	0.00
ANDREW JOHNSON BK/ANDREW JOHNSON BSHRS	1624	361439	GREENEVILLE, TN	SNM	334	334	100	100	6	0	N	0.00
COULEE BK/COULEE BSHRS	1625	457752	LA CROSSE, WI	SNM	334	334	100	100	4	0	N	0.00
NORTHMARK BK/	1626	1161216	NORTH ANDOVER, MA	SNM	334	334	100	100	2	0	N	0.00
LEGACY BK/COLWICH FC	1627	785950	COLWICH, KS	SNM	334	334	100	100	5	0	N	0.00
AQUESTA BK/AQUESTA FNCL HOLDS	1628	3446636	CORNELIUS, NC	SNM	333	333	100	100	7	0	N	0.00
HOMETOWN BK OF AL/HOMETOWN BC OF AL	1629	3217331	ONEONTA, AL	SNM	333	333	100	100	2	0	N	0.00
HOMEBANK/BYRON B WEBB	1630	697156	PALMYRA, MO	SNM	333	333	100	100	5	0	N	0.00
COMMUNITY BK PICKENS CTY/COMMUNITY BK OF GA	1631	2943615	JASPER, GA	SNM	333	333	100	100	1	0	N	0.00
BANKERS BK OF THE WEST/BANKERS BK OF THE WEST BC	1632	732758	DENVER, CO	SMB	333	333	100	100	0	0	N	0.00
FIRST INTERCONTINENTAL BK/	1633	2877840	ATLANTA, GA	SNM	333	333	100	100	3	0	N	0.00
FIRST ST FNCL/FIRST ST BSHRS	1634	961811	PINEVILLE, KY	SNM	333	333	100	100	10	0	N	0.00
AMERICAN B&TC NA/AMBANK HOLD	1635	2733263	DAVENPORT, IA	NAT	332	332	100	100	7	0	N	0.00
VICTORY ST BK/VSB BC	1636	2631323	STATEN ISLAND, NY	SNM	332	332	100	100	4	0	N	0.00
BRUNING ST BK/BRUNING BSHRS	1637	71457	BRUNING, NE	SNM	332	332	100	100	4	0	N	0.00
PARAGON BK/PARAGON FNCL SOLUTIONS	1638	3288452	MEMPHIS, TN	SNM	332	332	100	100	4	0	N	0.00
SANIBEL CAPTIVA CMNTY BK/	1639	3122994	SANIBEL, FL	SNM	332	332	100	100	4	0	N	0.00
FIRST CMRL BK NA/FIRST CMRL FNCL CORP	1640	400365	SEGUIN, TX	NAT	332	332	100	100	6	0	N	0.00
FIRST NEIGH BK NA/FIRST NEIGH BSHRS ESOP	1641	413646	TOLEDO, IL	NAT	332	332	100	100	6	0	N	0.00
COMMERCIAL BK/	1642	296559	PARSONS, KS	SNM	332	332	100	100	8	0	N	0.00
TEXAS SCTY BK/TEXAS SCTY BSHRS	1643	3619216	DALLAS, TX	SNM	332	332	100	100	3	0	N	0.00
LAKE ELMO BK/LAKE ELMO BSHRS	1644	1015850	LAKE ELMO, MN	SNM	332	332	100	100	6	0	N	0.00
FIRST NB OF OTTAWA/FIRST OTTAWA BSHRS	1645	856243	OTTAWA, IL	NAT	331	331	100	100	7	0	N	0.00
COTTONPORT BK/MANSURA BSHRS	1646	473930	COTTONPORT, LA	SNM	331	331	100	100	11	0	N	0.00
SOUTHWEST BK/ODESSA SOUTHWEST BSHRS	1647	561864	ODESSA, TX	SNM	331	331	100	100	5	0	N	0.00
UNITED CMNTY BK OF ND/AMERICAN BC	1648	680055	LEEDS, ND	SNM	330	330	100	100	3	0	N	0.00
HARFORD BK/	1649	660927	ABERDEEN, MD	SNM	330	330	100	100	7	0	N	0.00
FIRST NATIONS BK/ILLINOIS ST BC	1650	277240	CHICAGO, IL	SNM	330	330	100	100	2	0	N	0.00
NATIONAL BK/COUNTRY BANCORP	1651	659341	HILLSBORO, IL	NAT	330	330	100	100	11	0	N	0.00
NEFFS NB/NEFFS BC	1652	144913	NEFFS, PA	NAT	330	330	100	100	0	0	N	0.00
LEADERS BK/LEADERS GRP	1653	2855978	OAK BROOK, IL	SNM	330	330	100	100	1	0	N	0.00
NATIONAL BK OF MIDDLEBURY/MIDDLEBURY NAT CORP	1654	173306	MIDDLEBURY, VT	NAT	329	329	100	100	6	0	N	0.00
COMMUNITY BK OF BERGEN CTY/	1655	275509	MAYWOOD, NJ	SMB	329	329	100	100	3	0	N	0.00
FIRST NB/FIRST ALAMOGORDO BC NV	1656	823450	ALAMOGORDO, NM	NAT	328	328	100	100	6	0	N	0.00
LIBERTY BK/LIBERTY BSHRS	1657	2146023	ALTON, IL	SNM	328	328	100	100	3	0	N	0.00
FIRST NB/FIRST SONORA BSHRS	1658	591366	SONORA, TX	NAT	328	328	100	100	3	0	N	0.00
LAPEER CTY B&TC/COUNTY BK CORP	1659	184142	LAPEER, MI	SMB	328	328	100	100	6	0	N	0.00
FARMERS EXCH BK/FARMERS EXCH BC	1660	1002850	CHEROKEE, OK	SNM	328	328	100	100	5	0	N	0.00
MAQUOKETA ST BK/OHNWARD BSHRS	1661	683449	MAQUOKETA, IA	SMB	328	328	100	100	3	0	N	0.00
LIBERTYVILLE SVG BK/VILLAGE INV CO	1662	857745	FAIRFIELD, IA	SNM	328	328	100	100	4	0	N	0.00
CNB BK INC/CNB FS	1663	944627	BERKELEY SPRINGS, WV	SNM	328	328	100	100	7	0	N	0.00
OXFORD BK/OXFORD BK CORP	1664	448040	OXFORD, MI	SNM	328	328	100	100	9	0	N	0.00
HANOVER COMM BK/	1665	3793714	GARDEN CITY PARK, NY	SNM	328	328	100	100	0	0	N	0.00
GWINNETT CMNTY BK/COMMUNITY FHC	1666	2853358	DULUTH, GA	SNM	327	327	100	100	2	0	N	0.00
STATE BK FNCL/FIRST BC	1667	2631172	LA CROSSE, WI	SMB	327	327	100	100	6	0	N	0.00
PEOPLES BK MW/HAYWARD BSHRS	1668	456157	HAYWARD, WI	SMB	326	326	100	100	2	0	N	0.00
PERSONS BKG CO/PERSONS BKG CO	1669	212335	FORSYTH, GA	SNM	326	326	100	100	5	0	N	0.00
FARMERS BK OF WILLARDS/	1670	105026	WILLARDS, MD	SNM	326	326	100	100	7	0	N	0.00
PALM BEACH CMNTY BK/	1671	3690662	WEST PALM BEACH, FL	SMB	326	326	100	100	4	0	N	0.00
PARADISE BK/PARADISE BC	1672	3368635	BOCA RATON, FL	SMB	326	326	100	100	2	0	N	0.00
CITIZENS ST BK/KIDD PARTNERS	1673	877154	TYLER, TX	SMB	326	326	100	100	7	0	N	0.00
CITIZENS ST BK/CITIZENS NAT CORP	1674	482053	WISNER, NE	SMB	325	325	100	100	9	0	N	0.00
COMMERCIAL ST BK/COMMERCIAL BSHRS	1675	662659	EL CAMPO, TX	SMB	325	325	100	100	3	0	N	0.00
FIRST MW BK OF DEXTER/MIDWEST BC INC & AFFIL ESOP TR	1676	770853	DEXTER, MO	SNM	325	325	100	100	5	0	N	0.00
DEUTSCHE BK TC DE/DEUTSCHE BK TR CORP	1677	304913	WILMINGTON, DE	SNM	325	325	100	100	0	0	N	100.00
SECURITY NB/SECURITY FS CORP	1678	119153	ENID, OK	NAT	325	325	100	100	2	0	N	0.00
VA COMMONWEALTH BK/VIRGINIA BC	1679	534774	PETERSBURG, VA	SMB	325	325	100	100	7	0	N	0.00
CHARLOTTE ST B&TC/CREWS BKG CORP	1680	1158878	PORT CHARLOTTE, FL	SNM	325	325	100	100	4	0	N	0.00
TREYNOR ST BK/TREYNOR BSHRS	1681	552545	TREYNOR, IA	SNM	325	325	100	100	5	0	N	0.00
NEWDOMINION BK/	1682	3299814	CHARLOTTE, NC	SNM	325	325	100	100	1	0	N	0.00
LUMBEE GUARANTY BK/	1683	651121	PEMBROKE, NC	SNM	324	324	100	100	14	0	N	0.00
REDWOOD CAP BK/REDWOOD CAP BC	1684	3247589	EUREKA, CA	SNM	324	324	100	100	2	0	N	0.00
VIRGINIA PTNR BK/	1685	3688623	FREDERICKSBURG, VA	SMB	323	323	100	100	3	0	N	0.00
CITY SVG B&TC/LOUISIANA CMNTY BC	1686	541035	DERIDDER, LA	SNM	323	323	100	100	8	0	N	0.00
FIRST UT BK/FIRST UT BC	1687	207872	SALT LAKE CITY, UT	SMB	323	323	100	100	6	0	N	0.00
COMMUNITY FIRST BK/COMMUNITY FIRST BSHRS	1688	2775179	NEW IBERIA, LA	SNM	323	323	100	100	6	0	N	0.00
FIRST CMRC BK/FIRST CMRC BC	1689	3153297	LEWISBURG, TN	SNM	323	323	100	100	3	0	N	0.00
COMMUNITY ST BK OF ORBISONIA/ORBISONIA CMNTY BC	1690	121914	ORBISONIA, PA	SNM	323	323	100	100	6	0	N	0.00
COMMUNITY ST BK/COMMUNITY ST BK ESOP & TR	1691	130345	UNION GROVE, WI	SNM	323	323	100	100	6	0	N	0.00
COMANCHE NB/COMANCHE NAT CORP	1692	949556	COMANCHE, TX	NAT	322	322	100	100	7	0	N	0.00
CARLSBAD NB/CARLSBAD BC	1693	219651	CARLSBAD, NM	NAT	322	322	100	100	2	0	N	0.00
DENISON ST BK/DENISON BSHRS	1694	869551	HOLTON, KS	SNM	322	322	100	100	5	0	N	0.00
MOUND CITY BK/MOUND CITY FS	1695	259442	PLATTEVILLE, WI	SNM	321	321	100	100	5	0	N	0.00
FIRST ST BK OF LIVINGSTON/EAST TX BSHRS	1696	884358	LIVINGSTON, TX	SMB	321	321	100	100	4	0	N	0.00
POCA VALLEY BK/POCA VALLEY BSHRS	1697	851239	WALTON, WV	SNM	321	321	100	100	6	0	N	0.00
COMMUNITY FIRST BK/COMMUNITY FIRST BC	1698	1440117	WALHALLA, SC	SNM	321	321	100	100	7	0	N	0.00
OLD MO BK/JAMESMARK BSHRS	1699	2785646	SPRINGFIELD, MO	SMB	321	321	100	100	4	0	N	0.00
RANGE BK NA/RANGE FC	1700	355559	MARQUETTE, MI	NAT	321	321	100	100	11	0	N	0.00
FIRST NB/FIRST BEEVILLE FC	1701	28255	BEEVILLE, TX	NAT	320	320	100	100	2	0	N	0.00
PS BK/PEOPLES LTD	1702	597313	WYALUSING, PA	SNM	320	320	100	100	8	0	N	0.00
GRUNDY NB/GNB BSHRS CORP	1703	268828	GRUNDY, VA	NAT	320	320	100	100	6	0	N	0.00
CITIZENS ST BK/COMMUNITY BSHRS	1704	572459	MARYSVILLE, KS	SNM	320	320	100	100	3	0	N	0.00
PREMIER B&TC/EXCEL BC LLC	1705	2873075	NORTH CANTON, OH	SNM	320	320	100	100	3	0	N	0.00
FIRST NAT BK & TR ELK CITY OK/WESTERN OK FS	1706	114457	ELK CITY, OK	NAT	320	320	100	100	2	0	N	0.00
FIRST NB/FIRST VANDALIA CORP	1707	137447	VANDALIA, IL	NAT	320	320	100	100	6	0	N	0.00
FOOTHILLS BK/TFB BC	1708	2626794	YUMA, AZ	SNM	319	319	100	100	2	0	N	0.00
FIRST NB OF MUSCATINE/IOWA FIRST BSHRS	1709	893248	MUSCATINE, IA	NAT	319	319	100	100	2	0	N	0.00
ENTERPRISE BK OF SC/	1710	457426	EHRHARDT, SC	SNM	319	319	100	100	11	0	N	0.00
EASTERN MI BK/EASTERN MI FC	1711	643340	CROSWELL, MI	SMB	319	319	100	100	10	0	N	0.00
SECURITY ST BK/FINANCIAL SCTY CORP	1712	955959	BASIN, WY	SMB	318	318	100	100	4	0	N	0.00
NORTHVIEW BK/FINLAYSON BSHRS	1713	16551	SANDSTONE, MN	SNM	318	318	100	100	12	0	N	0.00
MARINERS BK/MARINERS BC	1714	3010000	EDGEWATER, NJ	SNM	317	317	100	100	6	0	N	0.00
GRAYSON NB/GRAYSON BSHRS	1715	90328	INDEPENDENCE, VA	NAT	317	317	100	100	9	0	N	0.00
COMMUNITY 1ST BK/COMMUNITY 1ST BC	1716	3409462	AUBURN, CA	SNM	317	317	100	100	3	0	N	0.00
SUNCREST BK/	1717	3750650	VISALIA, CA	SNM	317	317	100	100	3	0	N	0.00
LEGACY BK OF FL/	1718	3444539	BOCA RATON, FL	SNM	317	317	100	100	5	0	N	0.00
ONE B&T NA/ONEFINANCIAL CORP	1719	568144	LITTLE ROCK, AR	NAT	317	317	100	100	9	0	N	0.00
GULFSHORE BK/VALIDUS HOLD LLLP	1720	3628777	TAMPA, FL	SNM	316	316	100	100	1	0	N	0.00
BANK OF TIOGA/TREYNOR BSHRS	1721	768953	TIOGA, ND	SNM	316	316	100	100	1	0	N	0.00
BANK OF SANTA CLARITA/	1722	3302312	SANTA CLARITA, CA	SNM	316	316	100	100	1	0	N	0.00
ALVA ST B&TC/GRACE INV CO ESOP	1723	246956	ALVA, OK	SNM	316	316	100	100	3	0	N	0.00
FIRST NB/	1724	500256	MERTZON, TX	NAT	315	315	100	100	2	0	N	0.00
COLUMBUS FIRST BK/COLUMBUS FIRST BC INC	1725	3625048	WORTHINGTON, OH	SNM	315	315	100	100	0	0	N	0.00
FLORIDA BK OF CMRC/FBC BC	1726	3396375	ORLANDO, FL	SNM	315	315	100	100	6	0	N	0.00
SEVIER CTY BK/SEVIER CTY BSHRS	1727	982937	SEVIERVILLE, TN	SNM	315	315	100	100	5	0	N	0.00
MANUFACTURERS B&TC/MBT CORP	1728	215345	FOREST CITY, IA	SNM	315	315	100	100	6	0	N	0.00
MBL BK/MINDEN BC	1729	143073	MINDEN, LA	SNM	315	315	100	100	1	0	N	0.00
GENOA BKG CO/GENBANC	1730	504311	GENOA, OH	SMB	315	315	100	100	6	0	N	0.00
MEGA BK/	1731	3690635	SAN GABRIEL, CA	SNM	314	314	100	100	3	0	N	0.00
RELIABANK DAKOTA/BIG SIOUX FNCL	1732	108951	ESTELLINE, SD	SNM	314	314	100	100	7	0	N	0.00
OCONEE ST BK/OCONEE FC	1733	573036	WATKINSVILLE, GA	SNM	314	314	100	100	2	0	N	0.00
HARMONY BK/	1734	3814673	JACKSON, NJ	SNM	314	314	100	100	2	0	N	0.00
FIRST NB&TC IRON MOUNTAIN/FNB BSHRS	1735	251558	IRON MOUNTAIN, MI	NAT	313	313	100	100	6	0	N	0.00
CITIZENS NB OF ALBION/CITIZENS BSHRS	1736	853747	ALBION, IL	NAT	313	313	100	100	5	0	N	0.00
STATE NB/SNB FNCL	1737	169354	BIG SPRING, TX	NAT	313	313	100	100	2	0	N	0.00
ST HENRY BK/ST HENRY BC INC	1738	568126	SAINT HENRY, OH	SMB	313	313	100	100	2	0	N	0.00
FIRST ST BK OF ND/FIRST FC	1739	721350	ARTHUR, ND	SNM	312	312	100	100	7	0	N	0.00
FRAZER BK/FIRST ALTUS BC	1740	245351	ALTUS, OK	SMB	312	312	100	100	5	0	N	0.00
FOUR CORNERS CMNTY BK/	1741	2855866	FARMINGTON, NM	SNM	312	312	100	100	5	0	N	0.00
BANK OF OLD MONROE/CUIVRE RIVER BSHRS	1742	880855	OLD MONROE, MO	SNM	312	312	100	100	3	0	N	0.00
FIRST NB/FIRST GILMER BSHRS	1743	445955	GILMER, TX	NAT	311	311	100	100	9	0	N	0.00
FIRSTBANK/FIRST ANTLERS BC	1744	296456	ANTLERS, OK	SMB	310	310	100	100	5	0	N	0.00
DAMASCUS CMNTY BK/	1745	1198614	DAMASCUS, MD	SNM	310	310	100	100	4	0	N	0.00
MILFORD NB&TC/MNB BC	1746	879000	MILFORD, MA	NAT	310	310	100	100	4	0	N	0.00
CAPITOL BK/CAPITOL BSHRS	1747	2339599	MADISON, WI	SNM	310	310	100	100	14	0	N	0.00
NEW RESRC BK/	1748	3471209	SAN FRANCISCO, CA	SNM	309	309	100	100	0	0	N	0.00
COMMUNITY B&TC/COMMUNITY BSHRS ESOP	1749	957757	NEOSHO, MO	SMB	309	309	100	100	13	0	N	0.00
MAGNOLIA ST BK/MAGNOLIA ST CORP	1750	34434	BAY SPRINGS, MS	SNM	309	309	100	100	7	0	N	0.00
BANK OF LEES SUMMIT/VALLEY VIEW BSHRS	1751	951456	LEES SUMMIT, MO	SNM	309	309	100	100	3	0	N	0.00
BANK OF O'FALLON/SECURITY FIRST BSHRS	1752	410748	O'FALLON, IL	SNM	309	309	100	100	1	0	N	0.00
FARMERS & MERCHANTS BK/	1753	205243	BALDWYN, MS	SNM	309	309	100	100	9	0	N	0.00
UNITED TX BK/UTB FHC	1754	726953	DALLAS, TX	SMB	308	308	100	100	1	0	N	0.00
FIRST BUS BK-MILWAUKEE/FIRST BUS FS	1755	2882125	BROOKFIELD, WI	SNM	307	307	100	100	0	0	N	0.00
LEGENDS BK/LINN HC	1756	865151	LINN, MO	SNM	307	307	100	100	9	0	N	0.00
NEW WINDSOR ST BK/NEW WINDSOR BC	1757	57228	NEW WINDSOR, MD	SNM	307	307	100	100	6	0	N	0.00
RIVERHILLS BK/RIVERHILLS CAP CORP	1758	573335	PORT GIBSON, MS	SNM	307	307	100	100	3	0	N	0.00
UNITED BK OF UNION/CARDINAL BC II	1759	562058	UNION, MO	SNM	306	306	100	100	2	0	N	0.00
FARMERS AND MECHANICS BK/CENTRAL BSHRS	1760	744238	GALESBURG, IL	SMB	306	306	100	100	3	0	N	0.00
HASTINGS CITY BK/HCB FC	1761	750341	HASTINGS, MI	SNM	306	306	100	100	6	0	N	0.00
UNION ST BK/EVEREST BSHRS	1762	736550	EVEREST, KS	SMB	306	306	100	100	6	0	N	0.00
NORTHERN ST BK/GATO HOLDINGS	1763	188056	THIEF RIVER FALLS, MN	SNM	306	306	100	100	2	0	N	0.00
1880 BK/DELMARVA BSHRS	1764	746223	CAMBRIDGE, MD	SMB	306	306	100	100	5	0	N	0.00
BANK OF OCEAN CITY/	1765	147923	OCEAN CITY, MD	SNM	306	306	100	100	5	0	N	0.00
WAYNE CTY BK/WAYNE CTY BSHRS	1766	511832	WAYNESBORO, TN	SNM	305	305	100	100	5	0	N	0.00
AVB BK/ARKANSAS VALLEY BSHRS	1767	262059	BROKEN ARROW, OK	SNM	305	305	100	100	3	0	N	0.00
PATRIOT BK/SECURITY BC TN	1768	3120646	MILLINGTON, TN	SMB	305	305	100	100	5	0	N	0.00
FIRST NB OF MONTEREY/	1769	44040	MONTEREY, IN	NAT	305	305	100	100	3	0	N	0.00
FIRST BK/PIONEER BC	1770	131436	CLEWISTON, FL	SNM	305	305	100	100	5	0	N	0.00
MAINSTREET CMNTY BK OF FLORIDA/	1771	3217957	DELAND, FL	SNM	305	305	100	100	5	0	N	0.00
FIRST NB/FNB BC	1772	745570	LAYTON, UT	NAT	305	305	100	100	6	0	N	0.00
SWINEFORD NB/FULTON FNCL CORP	1773	203418	MIDDLEBURG, PA	NAT	305	305	100	100	6	0	N	0.00
TRADITIONS BK/TRADITIONS BSHRS	1774	3194692	CULLMAN, AL	SNM	305	305	100	100	5	0	N	0.00
BANK OF ADVANCE/MILES BSHRS	1775	879644	ADVANCE, MO	SMB	305	305	100	100	5	0	N	0.00
APPLE RIVER ST BK/FIRST APPLE RIVER CORP	1776	594938	APPLE RIVER, IL	SNM	304	304	100	100	5	0	N	0.00
CLASSIC BK NA/CAMERON FC	1777	182951	CAMERON, TX	NAT	304	304	100	100	5	0	N	0.00
LEGENCE BK/FIRST ELDORADO BSHRS	1778	635840	ELDORADO, IL	SNM	304	304	100	100	6	0	N	0.00
FIRST COMMONWEALTH BK/FIRST PRESTONSBURG BSHRS	1779	511618	PRESTONSBURG, KY	SNM	304	304	100	100	8	0	N	0.00
CITIZENS ST BK/CITIZENS BSHRS	1780	919755	OKEMAH, OK	SNM	304	304	100	100	1	0	N	0.00
GATEWAY BK OF SW FL/GATEWAY FNCL HOLD OF FL	1781	3717167	SARASOTA, FL	SNM	304	304	100	100	2	0	N	0.00
CHOICE BK/CHOICE BC	1782	3455236	OSHKOSH, WI	SNM	303	303	100	100	1	0	N	0.00
BRENHAM NB/BRENHAM BSHRS	1783	227357	BRENHAM, TX	NAT	303	303	100	100	2	0	N	0.00
PEOPLES T&SB/GREEN CIRCLE INV	1784	968249	CLIVE, IA	SNM	303	303	100	100	8	0	N	0.00
NATIONAL GRAND BK OF MARBLEH/GRAND BK CORP	1785	863607	MARBLEHEAD, MA	NAT	303	303	100	100	1	0	N	0.00
UNITED AMER BK/ATBANCORP	1786	3161144	SAN MATEO, CA	SNM	303	303	100	100	2	0	N	0.00
FIRST NB OF LIBERAL/KANSAS BC	1787	114158	LIBERAL, KS	NAT	302	302	100	100	4	0	N	0.00
ALTERRA BK/FIRST BUS FS	1788	50957	LEAWOOD, KS	SMB	301	301	100	100	1	0	N	0.00
IXONIA BK/IXONIA BSHRS	1789	529341	IXONIA, WI	SNM	301	301	100	100	5	0	N	0.00
CMNTY BK OAK PARK RIVER FOREST/OAK PK RIVER FOREST BSHRS	1790	2445052	OAK PARK, IL	SNM	301	301	100	100	1	0	N	0.00
INTERNATIONAL BK/RATON CAP CORP	1791	209858	RATON, NM	SNM	301	301	100	100	6	0	N	0.00
NOAH BK/	1792	3388165	ELKINS PARK, PA	SNM	301	301	100	100	6	0	N	0.00
LAKE AREA BK/FREEDOM BC	1793	987053	LINDSTROM, MN	SNM	301	301	100	100	5	0	N	0.00
CENTRAL BK OF BRANSON/CENTRAL BANCOMPANY INC	1794	576541	BRANSON, MO	SMB	300	300	100	100	4	0	N	0.00
VALLEY B&TC/VALLEY BC	1795	806154	BRIGHTON, CO	SNM	300	300	100	100	6	0	N	0.00
