Bank Name / Holding Co Name	Nat'l Rank	Bank ID	Bank Location	Charter	Consol Assets (Mil $)	Domestic Assets (Mil $)	Pct Domestic Assets	Pct Cumulative Assets	Domestic Branches	Foreign Branches	IBF	Pct Foreign Owned
BANCCENTRAL NA/MYERS BSHRS	1244	251352	ALVA, OK	NAT	446	446	100	99	4	0	N	0.00
FIRST B&T IL/FIRST BANCTRUST CORP	1245	221476	PARIS, IL	SNM	446	446	100	99	7	0	N	0.00
TIDELANDS BK/TIDELANDS BSHRS	1246	3185485	MOUNT PLEASANT, SC	SNM	445	445	100	99	6	0	N	0.00
RIDGESTONE BK/RIDGESTONE FS	1247	2342160	BROOKFIELD, WI	SNM	445	445	100	99	1	0	N	0.00
FIRST NB OF WATERLOO/FIRST WATERLOO BSHRS	1248	145545	WATERLOO, IL	NAT	444	444	100	99	8	0	N	0.00
FOUNDATION BK/FOUNDATION BC	1249	2941509	BELLEVUE, WA	SNM	444	444	100	99	0	0	N	0.00
PEOPLES B&TC/PBT BSHRS	1250	153353	MCPHERSON, KS	SNM	443	443	100	99	11	0	N	0.00
FRANKLIN B&TC/FRANKLIN BANCORP	1251	493844	FRANKLIN, KY	SNM	443	443	100	99	4	0	N	0.00
BANK OF FAYETTE CTY/MOSCOW BSHRS	1252	466754	PIPERTON, TN	SMB	443	443	100	99	10	0	N	0.00
BANK OF KIRKSVILLE/ROCKHOLD BANCORP	1253	796451	KIRKSVILLE, MO	SNM	443	443	100	99	7	0	N	0.00
CAROLINA B&TC/FIRST CAROLINA BSHRS CORP	1254	355120	LAMAR, SC	SNM	443	443	100	99	13	0	N	0.00
LIBERTY NAT BK/BOE BSHRS	1255	68756	LAWTON, OK	NAT	443	443	100	99	6	0	N	0.00
LIBERTY BK/LIBERTY BSHRS	1256	708164	HURST, TX	SMB	443	443	100	99	4	0	N	0.00
HAMLIN B&TC/	1257	291611	SMETHPORT, PA	SNM	441	441	100	99	6	0	N	0.00
TRUPOINT BK/MINERS & MRCH BC	1258	274829	GRUNDY, VA	SMB	441	441	100	99	11	0	N	0.00
CITIZENS ST BK/GOERING MGMT CO LLC	1259	273550	MOUNDRIDGE, KS	SNM	440	440	100	99	12	0	N	0.00
PEGASUS BK/	1260	3465392	DALLAS, TX	SNM	440	440	100	99	1	0	N	0.00
FIDELITY BK/FB BSHRS	1261	3202962	WICHITA FALLS, TX	SNM	440	440	100	99	5	0	N	0.00
AMERICAN PLUS BK NA/	1262	3623110	ARCADIA, CA	NAT	440	440	100	99	2	0	N	0.00
COASTALSTATES BK/COASTALSOUTH BSHRS	1263	3274709	HILTON HEAD ISLAND, SC	SNM	440	440	100	99	3	0	N	0.00
CITIZENS NB OF GREATER STL/CARDINAL BC	1264	870650	MAPLEWOOD, MO	NAT	439	439	100	99	5	0	N	0.00
COASTAL CMRC BK/LOUISIANA CMNTY BC	1265	2760102	HOUMA, LA	SNM	439	439	100	99	5	0	N	0.00
CITIZENS FIRST BK/CITIZENS FIRST CORP	1266	2751007	BOWLING GREEN, KY	SNM	438	438	100	99	7	0	N	0.00
VISIONBANK OF IA/VISIONBANKSHARES	1267	269049	AMES, IA	SMB	438	438	100	99	7	0	N	0.00
FIRST NB OF SCOTIA/GLENVILLE BHC	1268	472616	SCOTIA, NY	NAT	438	438	100	99	9	0	N	0.00
FNB BK/JACKSON FINANCIAL CORP	1269	400141	MAYFIELD, KY	SNM	438	438	100	99	7	0	N	0.00
FAYETTEVILLE BK/INDUSTRY BSHRS	1270	450753	FAYETTEVILLE, TX	SNM	438	438	100	99	2	0	N	0.00
FARMERS BK/FARMERS BC	1271	307062	BUHL, ID	SNM	438	438	100	99	5	0	N	0.00
CITY NB&TC/JRMB II	1272	294751	LAWTON, OK	NAT	437	437	100	99	39	0	N	0.00
SOUTH GA BKG CO/SOUTH GA BHC	1273	767732	OMEGA, GA	SNM	436	436	100	99	7	0	N	0.00
BANKORION/ORION BC	1274	855741	ORION, IL	SNM	436	436	100	99	7	0	N	0.00
OAKSTAR BK/OAKSTAR BSHRS	1275	3374412	SPRINGFIELD, MO	SMB	435	435	100	99	2	0	N	0.00
MINSTER BK/MINSTER FNCL CORP	1276	604024	MINSTER, OH	SMB	435	435	100	99	6	0	N	0.00
ANSTAFF BK/FIRST NATIONAL BANCORP	1277	261940	GREEN FOREST, AR	SNM	435	435	100	99	8	0	N	0.00
WESTERN ST BK/WHITCORP FC	1278	988153	GARDEN CITY, KS	SNM	435	435	100	99	9	0	N	0.00
INTEGRITY FIRST BK NA/MOUNTAIN HOME BSHRS	1279	26242	MOUNTAIN HOME, AR	NAT	433	433	100	99	9	0	N	0.00
ALLEGHENY VALLEY BK/ALLEGHENY VALLEY BC	1280	1829	PITTSBURGH, PA	SNM	432	432	100	99	8	0	N	0.00
CITIZENS BK/CITBA FC	1281	44741	MOORESVILLE, IN	SNM	432	432	100	99	8	0	N	0.00
NATIONAL UNION BK/KINDERHOOK BK CORP	1282	313401	KINDERHOOK, NY	NAT	431	431	100	99	7	0	N	0.00
BTC BK/BETHANY BSHRS	1283	1009242	BETHANY, MO	SNM	431	431	100	99	7	0	N	0.00
BANKLIBERTY/LIBERTY BC	1284	379171	KANSAS CITY, MO	SMB	431	431	100	99	11	0	N	0.00
BANK OF RIVER OAKS/	1285	3386554	HOUSTON, TX	SNM	431	431	100	99	2	0	N	0.00
PIONEER TR BK NA/PTB CORP	1286	852973	SALEM, OR	NAT	430	430	100	99	1	0	N	0.00
FIRST FREEDOM BK/FIRST FREEDOM BSHRS	1287	3437148	LEBANON, TN	SNM	430	430	100	99	5	0	N	0.00
GREEN BELT B&TC/GREEN BELT BC	1288	803649	IOWA FALLS, IA	SNM	430	430	100	99	7	0	N	0.00
CONSUMERS NB/CONSUMERS BC	1289	477321	MINERVA, OH	NAT	429	429	100	99	11	0	N	0.00
SOUTHWEST NB/REPUBLIC FC	1290	499855	WICHITA, KS	NAT	428	428	100	99	7	0	N	0.00
CAPITAL CITY BK/CAPITAL CITY BSHRS	1291	348551	TOPEKA, KS	SNM	428	428	100	99	10	0	N	0.00
AMERICAN RIVIERA BK/	1292	3388482	SANTA BARBARA, CA	SNM	428	428	100	99	2	0	N	0.00
BANK OF THE WEST/GREATER SW BSHRS	1293	859552	GRAPEVINE, TX	SNM	428	428	100	99	9	0	N	0.00
SOY CAP B&TC/SCB BC	1294	899736	DECATUR, IL	SNM	428	428	100	99	9	0	N	0.00
AMERICAN BK NA/AMERICAN NAT BSHRS	1295	307361	WACO, TX	NAT	428	428	100	99	2	0	N	0.00
TRAILWEST BK/BITTERROOT HC	1296	615954	LOLO, MT	SNM	426	426	100	99	13	0	N	0.00
CUMBERLAND VALLEY NB&TC/CUMBERLAND VALLEY FNCL CO	1297	647218	EAST BERNSTADT, KY	NAT	426	426	100	99	13	0	N	0.00
BANK OF SC/BANK OF SC CORP	1298	246022	CHARLESTON, SC	SNM	425	425	100	99	3	0	N	0.00
DENMARK ST BK/DENMARK BSHRS	1299	222446	DENMARK, WI	SNM	425	425	100	99	3	0	N	0.00
MCFARLAND ST BK/NORTHERN BSHRS	1300	663647	MCFARLAND, WI	SNM	425	425	100	99	3	0	N	0.00
DRUMMOND CMNTY BK/DRUMMOND BKG CO	1301	1436071	CHIEFLAND, FL	SNM	424	424	100	99	11	0	N	0.00
LEGACY BK/MIDSTATE BC	1302	320052	HINTON, OK	SNM	423	423	100	99	10	0	N	0.00
FCN BK NA/FCN BANC CORP	1303	321947	BROOKVILLE, IN	NAT	423	423	100	99	4	0	N	0.00
STILLMAN BANCCORP NA/STILLMAN BANCCORP	1304	407645	STILLMAN VALLEY, IL	NAT	422	422	100	99	5	0	N	0.00
BANCO DO BRASIL AMERS/	1305	110936	MIAMI, FL	SNM	422	422	100	99	2	0	N	100.00
PEOPLES CMNTY BK/GREENVILLE BSHRS	1306	784159	GREENVILLE, MO	SNM	422	422	100	99	14	0	N	0.00
SOUTHWEST GA BK/SOUTHWEST GA FC	1307	699534	MOULTRIE, GA	SNM	421	421	100	99	5	0	N	0.00
CORE BK/DS HC	1308	976552	OMAHA, NE	SNM	421	421	100	99	7	0	N	0.00
EDGAR CTY B&TC PARIS IL/EDGAR CTY BANC SHARES	1309	738143	PARIS, IL	SNM	420	420	100	99	9	0	N	0.00
BANK OF SULLIVAN/MID-MISSOURI HC	1310	436953	SULLIVAN, MO	SNM	420	420	100	99	7	0	N	0.00
CENTRIC BK/CENTRIC FNCL CORP	1311	411512	HARRISBURG, PA	SNM	420	420	100	99	3	0	N	0.00
FIRST ST BK/JSA FAM LP	1312	264455	ATHENS, TX	SNM	419	419	100	99	10	0	N	0.00
BANK OF CENT FL/	1313	3588312	LAKELAND, FL	SNM	419	419	100	99	2	0	N	0.00
CITIZENS SVG BK/UNITED BC	1314	584724	MARTINS FERRY, OH	SNM	418	418	100	99	17	0	N	0.00
PEOPLES BK/PEOPLES BC	1315	819855	LUBBOCK, TX	SMB	418	418	100	99	6	0	N	0.00
FIRST BK KS/OTTAWA BSHRS	1316	192558	SALINA, KS	SNM	418	418	100	99	8	0	N	0.00
COMMUNITY SVGS BK/COMMUNITY FC	1317	646743	EDGEWOOD, IA	SNM	418	418	100	99	10	0	N	0.00
SUTTON BK/SUTTON BSHRS	1318	110413	ATTICA, OH	SNM	417	417	100	99	7	0	N	0.00
COMMUNITY B&T/COMMUNITY CO	1319	549862	WACO, TX	SNM	417	417	100	99	2	0	N	0.00
TRUXTON TC/TRUXTON CORP	1320	3290240	NASHVILLE, TN	SMB	417	417	100	99	0	0	N	0.00
TEXAS BK/	1321	232856	BROWNWOOD, TX	SNM	417	417	100	99	8	0	N	0.00
VILLAGE BK/VILLAGE BK & TR FC	1322	2760232	MIDLOTHIAN, VA	SNM	417	417	100	99	10	0	N	0.00
